code	image 1	image 2
mdayibza-qty	store/yellow-roses-for-mothers-day-globalrose-2.jpg	store/yellow-roses-for-mothers-day-globalrose.jpg
mounteverest-qty	store/off-white-roses-globalrose-2.jpg	store/off-white-roses-globalrose.jpg
orlando-qty	store/dark-pink-rose-globalrose-2.jpg	store/dark-pink-rose-globalrose.jpg
parissiene-qty	store/peach-roses-online-globalrose-2.jpg	store/peach-roses-online-globalrose.jpg
peckoubo-qty	store/light-pink-roses-globalrose-2.jpg	store/light-pink-roses-globalrose.jpg
pinkfloyd-qty	store/hot-pink-roses-cut-to-order-globalrose-2.jpg	store/hot-pink-roses-cut-to-order-globalrose.jpg
pleasure-qty	store/fresh-white-roses-globalrose-2.jpg	store/fresh-white-roses-globalrose.jpg
polarstar-qty	store/large-pure-white-roses-globalrose-2.jpg	store/large-pure-white-roses-globalrose.jpg
polo-qty	store/real-white-roses-globalrose-2.jpg	store/real-white-roses-globalrose.jpg
priceless-qty	store/pink-wedding-rose-globalrose-2.jpg	store/pink-wedding-rose-globalrose.jpg
proud-qty	store/white-roses-white-rose-bouquets-for-sale-globalrose-2.jpg	store/white-roses-white-rose-bouquets-for-sale-globalrose.jpg
redparis-qty	store/fresh-red-rose-globalrose-2.jpg	store/fresh-red-rose-globalrose.jpg
redunique-qty	store/fresh-red-roses-special-globalrose-2.jpg	store/fresh-red-roses-special-globalrose.jpg
redwedding-qty	store/red-wedding-roses-globalrose-2.jpg	store/red-wedding-roses-globalrose.jpg
vdayredroses-qty	store/red-valentines-day-roses-globalrose-2.jpg	store/red-valentines-day-roses-globalrose.jpg
sexyred-qty	store/real-red-roses-globalrose-2.jpg	store/real-red-roses-globalrose.jpg
skyline-qty	store/light-yellow-rose-globalrose-2.jpg	store/light-yellow-rose-globalrose.jpg
sonrisa-qty	store/yellow-roses-for-delivery-globalrose-2.jpg	store/yellow-roses-for-delivery-globalrose.jpg
sophie-qty	store/soft-pink-roses-globalrose-2.jpg	store/soft-pink-roses-globalrose.jpg
sugar-doll-qty	store/pure-white-roses-sale-globalrose-2.jpg	store/pure-white-roses-sale-globalrose.jpg
stardust-qty	store/yellow-roses-for-sale-globalrose-2.jpg	store/yellow-roses-for-sale-globalrose.jpg
sweetunique-qty	store/pink-roses-delivery-globalrose-2.jpg	store/pink-roses-delivery-globalrose.jpg
sweetness-qty	store/white-and-red-rose-globalrose-2.jpg	store/white-and-red-rose-globalrose.jpg
tanoshi-qty	store/hot-pink-roses-globalrose-2.jpg	store/hot-pink-roses-globalrose.jpg
tiffany-qty	store/peachy-pink-roses-globalrose-2.jpg	store/peachy-pink-roses-globalrose.jpg
tormenta-qty	store/burgundy-cream-roses-globalrose-2.jpg	store/burgundy-cream-roses-globalrose.jpg
topaz-qty	store/bright-pink-roses-globalrose-2.jpg	store/bright-pink-roses-globalrose.jpg
